id,item,category,serial,status,location,purchased,price,seller,notes,,,
EQ_061,DJI R Phone Holder,other,,active,studio,2024-08-10,39,Amazon EU,,,,
EQ_062,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_063,SureMark Alpha Broadtip Jumbo Permanent Marker Blue Single,other,,active,studio,2024-08-12,3.96,Industrial Services (York) Ltd,,,,
EQ_064,NEEWER Adjustable Sling Handle Grip,other,,active,studio,2024-08-10,37.99,Shenzhen Hezhen Technology Co Ltd,,,,
EQ_065,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_066,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_067,NEEWER Arca Type Quick Release Plate,rigging,,active,studio,2024-07-06,16.99,shenzhenshiruihongtaokejiyouxiangongsi,minzhijiedaoshangfenshequ xitouxincunerqu32hao305 Shenzhenshi Longhuaqu Guangdongsheng 518000 CN,,,
EQ_068,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_069,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_070,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_071,"SMALLRIG 9.8 inch Adjustable Articulating Magic Arm with Both 1/4"" Thread Screw for LCD Monitor/LED Lights - 2066B",rigging,,active,studio,2024-06-12,16.5,Amazon EU,,,,
EQ_072,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_073,EDIMENS Office Chair Wheels Caster Replacement for Rubber Office Chair,other,,active,studio,2024-03-11,15.99,suiningyixuanbaodianzishangwuyouxiangongsi,,,,
EQ_074,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_075,Canon EOS M50 Mark II,camera,,active,studio,2024-02-27,7.49,Amazon EU,,,,
EQ_076,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_077,Canon EOS M50 Mark II Screen Protector,camera,,active,studio,2024-02-27,6.66,Amazon EU,,,,
EQ_078,Canon EOS M50 Mark II,camera,,active,studio,2024-02-27,7.99,Amazon EU,,,,
EQ_079,Canon EOS M50 Mark II,camera,,active,studio,2024-02-27,7.99,Amazon EU,,,,
EQ_080,Light Stand Adapter,rigging,,active,studio,2024-02-25,10.79,Shenzhenshi Aiweite Keji Youxian Gongsi,,,,
EQ_081,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_082,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_083,"VisioSound 2 x 6.35mm 1/4"" Stereo TRS Jack Balanced Twin Lead/Signal Audio Patch Cable 1.5m",audio,,active,studio,2025-12-31,15.99,LS Audio Tech Ltd,,,,
EQ_084,LABCOOL Heated Gilet Men Women - Heated Vest with Dual-Comfort Fleece - USB Powered 6-Zone Heating & 3 Heat Settings - 10000mAh Power Bank - Machine Washable - Ideal for Outdoor,other,,active,studio,2025-12-31,49.99,Amazon EU,,,,
EQ_085,"M-AUDIO BX3BT Pair 3.5"" Studio Monitors and PC Speakers with Bluetooth",audio,,active,studio,2025-12-26,83.28,Amazon EU,,,,
EQ_086,Clear Plastic Wallets 24Pcs - A4 File Document Paperwork Folder Popper Pocket Wallet with Button,other,,active,studio,2026-08-24,12.49,Amazon EU,,,,
EQ_087,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_088,Arturia MiniFuse 4 Black USB-Audio Interface,audio,,active,studio,2025-12-16,166,Bop Trading Ltd,,,,
EQ_089,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_090,Pocket Mini Tripod,rigging,,active,studio,2025-11-17,7.59,Shen Zhen Shi Yin Si Heng Ke Ji You Xian Gong Si,,,,
EQ_091,Elgato Stream Deck XL Advanced Studio Controller,lens,,active,studio,2025-11-14,229,Amazon EU,,,,
EQ_092,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_093,VEDINDUST HDMII Splitter Extend 4K@60Hz HDMI to Dual HDMI Adapter,computer,,active,studio,2025-11-03,29.99,Amazon EU,,,,
EQ_094,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_095,Ubluker 10K 8K 4K DisplayPort 2.1 Cable,other,,active,studio,2025-10-22,8.99,Amazon EU,,,,
EQ_096,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_097,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_098,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_099,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_100,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_101,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_102,VCELINK Mini HDMI to HDMI Adapter,computer,,active,studio,2025-09-20,7.59,Amazon EU,,,,
EQ_103,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_104,UGREEN Micro HDMI to HDMI Adapter 4K@60Hz 1440P@144Hz,broadcast,,active,studio,2025-09-21,6.87,HONG KONG UGREEN LIMITED,,,,
EQ_105,Elgato Cam Link 4K External Capture Card,camera,,active,studio,2025-09-21,91.96,Amazon EU,,,,
EQ_106,QTX | PAR36 lamp | screw 6.4V 30W SP,lighting,,active,studio,2025-09-13,9.57,Amazon EU S.à r.l.,UK Branch,,,
EQ_107,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_108,REVIEW - empty item,other,,active,studio,2025-08-14,5.79,Ad Fontes Company Limited,,,,
EQ_109,SanDisk Extreme PRO SD UHS-II USB-C Card Reader,other,,active,studio,2025-08-03,19.36,Amazon EU S.à r.l.,UK Branch,,,
EQ_110,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_111,Alvin’s Cables 8K 2.1 Micro-HDMI to HDMI Braided Coiled-Cable for Atomos-Ninja-V 4K-60P Record 48Gbps HDMI for Canon-R5C| R5| R6,audio,,active,studio,2025-07-17,21.99,shenzhenshiaerwenkejiyouxiangongsi,,,,
EQ_112,Alvin’s Cables 8K 2.1 Micro-HDMI to HDMI Braided Coiled-Cable for Atomos-Ninja-V 4K-60P Record 48Gbps HDMI for Canon-R5C| R5| R6,audio,,active,studio,2025-07-17,21.99,Shenzhen shi li yu keji youxian zeren gongsi,,,,
EQ_113,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_114,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_115,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_116,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_117,58mm Lens Hood,lens,,active,studio,2025-07-13,7.99,Amazon EU,,,,
EQ_118,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_119,58mm Lens Hood,lens,,active,studio,2025-07-13,6.66,Amazon EU,,,,
EQ_120,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_121,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_122,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_123,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_124,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_125,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_126,NEEWER Mini Follow Focus with A/B Stops,lens,,active,studio,2025-07-03,66.99,Amazon EU,,,,
EQ_127,NEEWER Mini Follow Focus with A/B Stops,lens,PG001,active,studio,2025-07-03,66.99,Amazon EU,,,,
EQ_128,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_129,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_130,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_131,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_132,Canon R8 body,camera,,active,studio,2026-08-24,229.99,Amazon EU,,,,
EQ_133,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_134,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_135,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_136,YOUSHARES Interview Handle for DJI Mic Mini - Interview GO Handheld,other,,active,studio,2025-06-15,15.83,Shenzhenshi Xinqidian Keji Youxiangongsi,,,,
EQ_137,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_138,Seminer USB C Splitter 3 Port,computer,,active,studio,2026-01-12,4.99,Amazon EU,,,,
EQ_139,REMAGIC Alto & Tenor Saxophone Stand,rigging,,active,studio,2026-01-12,15.98,Guangzhou Yuanli Keji Youxian Gongsi,,,,
EQ_140,RUXELY 6.35mm TRS Instrument Cable 1M 2-Pack,audio,,active,studio,2026-01-09,12.99,Amazon EU,,,,
EQ_141,RUXELY 6.35mm TRS Instrument Cable 1M 2-Pack,audio,,active,studio,2026-01-09,12.99,guang zhou jie long mao yi you xian gong si,,,,
EQ_142,RUXELY 6.35mm TRS Instrument Cable 1M 2-Pack,audio,,active,studio,2026-01-09,12.99,Amazon EU,,,,
EQ_143,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_144,Neoprene Camera Wrist Strap,camera,,active,studio,2024-03-09,7.99,Xin TeNeng Electronics Technology (Shenzhen),CN,,,
